,Real Model MAPE,Synthetic Model MAPE
0,0.29473564,0.28811264
1,0.30291364,0.30766785
2,0.30626425,0.30148026
3,0.29645777,0.29549164
4,0.29821104,0.2803324
5,0.3065261,0.28866547
6,0.32181934,0.29009968
7,0.32306957,0.2789451
8,0.30442247,0.2964285
9,0.31519258,0.29672462
10,0.31217843,0.2997656
11,0.30052242,0.2879689
12,0.30742913,0.2870993
13,0.34981185,0.2869275
14,0.3162473,0.291561
15,0.30039862,0.27365372
16,0.31103438,0.28758052
17,0.29826486,0.29009295
18,0.3011995,0.2807245
19,0.30975288,0.2898407
20,0.2987127,0.29272982
21,0.30092132,0.30389544
22,0.30009493,0.28690422
23,0.30087438,0.2780499
24,0.30701965,0.2954125
25,0.29568776,0.28696197
26,0.31253392,0.29406172
27,0.29936343,0.29004142
28,0.29844874,0.28680328
29,0.30672473,0.30414394
