,Batch Size,MAPE,STD
1,8.0,0.2943519949913025,0.003049385966733098
2,16.0,0.2928454875946045,0.005211176350712776
3,24.0,0.29380398988723755,0.009824723936617374
4,32.0,0.29258301854133606,0.006481990218162537
5,40.0,0.2942501902580261,0.004227190278470516
6,48.0,0.28731411695480347,0.007367759011685848
7,56.0,0.28587931394577026,0.008648800663650036
8,64.0,0.29321718215942383,0.006882778834551573
9,72.0,0.2904129922389984,0.004000700078904629
10,80.0,0.28920435905456543,0.003274687333032489
11,88.0,0.29528701305389404,0.016186624765396118
12,96.0,0.28690215945243835,0.006498154252767563
13,104.0,0.2955886721611023,0.006152137648314238
14,112.0,0.2892308533191681,0.0044906553812325
15,120.0,0.2837756276130676,0.007405789569020271
16,128.0,0.29110196232795715,0.012054693885147572
